rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,cur_year_avg_weighted,last_year_avg,last_year_avg_weighted,two_year_ago_avg,two_year_ago_weighted,three_year_ago_avg,three_year_ago_weighted,confederation,rank_date
62,Honduras,HON,503.3,530,-3,274.62,274.62,331.4,165.7,148.74,44.62,91.81,18.36,CONCACAF,2018-06-07
63,Finland,FIN,486.43,507,-1,352.12,352.12,41.16,20.58,286.7,86.01,138.6,27.72,UEFA,2018-06-07
64,Mali,MLI,483.7,462,3,195.42,195.42,291.98,145.99,272.63,81.79,302.53,60.51,CAF,2018-06-07
65,Cape Verde Islands,CPV,477.77,545,-7,302.55,302.55,35.88,17.94,252.27,75.68,407.97,81.59,CAF,2018-06-07
66,Algeria,ALG,473.83,499,-2,163.41,163.41,234.78,117.39,304.68,91.4,508.13,101.63,CAF,2018-06-07
67,Saudi Arabia,KSA,465.28,462,0,143.89,143.89,360.2,180.1,380.91,114.27,135.09,27.02,AFC,2018-06-07
68,Côte d'Ivoire,CIV,463.4,458,1,124.9,124.9,298.82,149.41,286,85.8,516.41,103.28,CAF,2018-06-07
68,Guinea,GUI,462.98,450,2,230.28,230.28,175.95,87.98,216.75,65.03,398.48,79.7,CAF,2018-06-07
70,Russia,RUS,456.53,493,-4,166.07,166.07,216.18,108.09,362.25,108.68,368.5,73.7,UEFA,2018-06-07
71,FYR Macedonia,MKD,451.3,422,6,344.15,344.15,132.09,66.05,73.98,22.19,94.55,18.91,UEFA,2018-06-07
72,El Salvador,SLV,441.53,392,13,278.68,278.68,173.4,86.7,171.16,51.35,124.01,24.8,CONCACAF,2018-06-07
73,Syria,SYR,439.65,423,3,213.58,213.58,258.66,129.33,216.04,64.81,159.66,31.93,AFC,2018-06-07
74,South Africa,RSA,427.68,432,-2,186.63,186.63,204.55,102.28,268.66,80.6,290.93,58.19,CAF,2018-06-07
75,China PR,CHN,423.09,431,-2,204.03,204.03,193.6,96.8,243.84,73.15,245.5,49.1,AFC,2018-06-07
76,Zambia,ZAM,420.31,412,2,236.14,236.14,137.37,68.68,186.75,56.02,297.31,59.46,CAF,2018-06-07
77,United Arab Emirates,UAE,417.66,405,4,183.25,183.25,236.44,118.22,218.24,65.47,253.63,50.73,AFC,2018-06-07
78,Belarus,BLR,417.42,410,1,204.8,204.8,169.84,84.92,294.64,88.39,196.5,39.3,UEFA,2018-06-07
79,Lebanon,LIB,411.49,404,3,301.75,301.75,132.72,66.36,111.75,33.52,49.3,9.86,AFC,2018-06-07
79,Canada,CAN,410.93,407,1,238.61,238.61,157.3,78.65,217.21,65.16,142.53,28.51,CONCACAF,2018-06-07
81,Curaçao,CUW,408.27,439,-10,190.64,190.64,284.33,142.16,165.75,49.73,128.71,25.74,CONCACAF,2018-06-07
82,Uganda,UGA,402.91,426,-8,174.57,174.57,181.48,90.74,256.1,76.83,303.86,60.77,CAF,2018-06-07
83,Congo,CGO,393.04,378,6,160.58,160.58,159.38,79.69,211.05,63.31,447.28,89.46,CAF,2018-06-07
84,Oman,OMA,391.06,383,3,259.44,259.44,114.64,57.32,192.68,57.8,82.45,16.49,AFC,2018-06-07
85,Gabon,GAB,389.96,374,5,179.63,179.63,212.41,106.2,112.83,33.85,351.37,70.27,CAF,2018-06-07
85,Luxembourg,LUX,389.95,401,-2,285.82,285.82,93.99,46.99,159.66,47.9,46.2,9.24,UEFA,2018-06-07
