Fecha,México,Alemania,Brasil,China,España,Italia,Portugal,Rusia,Turquía,Perú,Sudáfrica,Polonia,Indonesia,Chile,Colombia,Hong Kong,Corea,Malasia,Tailandia,USA,Francia,Grecia
01/07/2016,153.562946824014,18.7774148675486,306.004373949516,121.650593055556,89.1436673230939,128.744285177222,273.511154640624,226.419406946008,235.552908600798,133.52965496772,271.96094101087,97.691452688588,182.092082410535,90.4390960072896,197.181122293497,52.0880758382069,55.1160692160039,154.459157411977,113.288132705437,12.0185712789122,36.2466845399805,900.139330297057
04/07/2016,152.623237198349,17.8452278527296,305.084754311962,118.895654013174,91.5315253772513,131.836209182874,271.743647807947,226.193215443871,235.003414750134,132.736476378271,270.817056340695,95.5239606184705,178.5612744334,90.2043443731848,196.326294271316,51.772607227371,54.4892370208465,151.128228013569,110.627668248934,12.2173357092209,35.9145906652587,919.640325528885
05/07/2016,156.827868532138,18.4773670120662,313.642028816688,120.881869482189,93.760448194678,135.456509972233,280.29262502995,236.281884585722,240.752800042548,137.315903488091,274.791209333941,95.8295610726206,180.746299159959,95.2872531342865,204.795709567548,51.7194821144859,55.7631175499238,153.308420233978,109.06540745124,12.545942092354,36.7462014907444,966.950728527288
06/07/2016,153.13450787231,18.6980253173888,311.313903766685,124.669522125222,92.4731383486243,135.899929315565,279.02692470438,234.921512850551,239.558451826206,134.859293615219,274.962263499393,99.1855402875818,184.728314300963,92.9247294582178,201.563565022085,52.2928952057212,57.4614585795936,156.924952883956,112.030422542811,12.0874573687664,37.0768939798181,898.262638702707
07/07/2016,153.519647928064,18.7630879716724,314.109352305245,122.7990775005,91.1801618477344,137.247065231988,291.14345908974,231.568001691223,233.033232409729,134.906179598276,269.693370255501,97.8951475594414,182.861788678728,93.279538574485,203.227861787761,51.8170906198573,55.9694786820194,153.979198416521,109.265455781361,12.1380613038375,37.5066553112495,921.223260759869
08/07/2016,144.693532164497,18.9083352591511,300.721874702238,121.986373551975,90.5935063733798,132.068382287119,284.288210847059,223.699064765827,224.886194871568,126.162320717874,263.798981886188,96.1059358360937,182.112819037932,84.6564073906479,192.903061170477,50.0825659030529,56.0710384129757,153.694111244557,108.841819313589,12.5081244119994,37.4756042230071,902.967856215815
11/07/2016,143.1959,16.9294,298.6328,114.7508,95.1493,133.1495,285.9633,218.4963,217.9707,125.3923,248.0365,93.7369,169.329,82.9299,189.9572,48.3238,50.085,139.6713,103.4484,21.7342,36.5839,916.6419
12/07/2016,135.8962,17.5469,287.4215,110.7175,86.8848,125.9641,276.2102,216.0865,216.3466,120.4514,243.1171,92.8049,163.2908,78.0239,179.6136,47.5248,47.6613,132.6849,98.6857,21.2861,37.0324,902.8293
13/07/2016,135.3259,17.5574,286.2917,112.564,86.1016,124.7844,275.8309,220.0513,219.6524,121.2537,241.8628,90.7541,161.9897,78.749,179.2624,47.5246,48.5774,131.2837,100.9867,21.7383,36.0979,902.5076
14/07/2016,137.4747,17.5751,286.7574,109.0137,87.5247,118.0078,264.8868,217.8178,219.9826,123.201,241.234,89.0812,157.4979,79.1638,182.6382,47.1247,47.0555,127.0936,97.8321,21.2859,35.2229,902.5083
15/07/2016,142.9634,17.5289,289.7305,107.4637,82.7624,118.2081,265.8826,221.7779,222.2423,128.1679,244.3513,88.4687,158.2845,82.264,186.387,46.9245,48.9597,126.8595,95.3304,21.2861,35.0898,886.8263
18/07/2016,141.8299,17.6583,283.0043,109.6106,84.0289,121.8813,267.2498,227.6895,245.4427,127.7794,249.824,88.2889,158.9778,80.1986,184.7615,47.328,47.9643,126.6993,95.169,22.1473,34.6876,891.0015
19/07/2016,143.063,17.0547,285.0242,111.7301,82.9265,121.6342,265.9691,229.7502,268.9009,128.27,254.3712,88.3352,162.4383,81.537,183.9316,48.2736,50.0847,130.9496,96.9195,21.7137,34.1555,867.0175
20/07/2016,139.2036,17.3657,279.965,109.2266,82.7223,122.2808,266.1855,226.8271,283.5083,123.2704,252.1401,89.5657,158.9528,77.3432,176.6111,46.5002,48.0824,131.0653,90.46,21.713,33.7212,890.618
21/07/2016,140.5583,16.8873,282.9624,109.2667,80.7317,121.5204,257.1702,221.2533,276.5378,124.3609,242.8672,88.3359,160.6857,78.8957,178.4481,46.7274,48.5753,134.1953,90.8877,21.7131,32.296,901.9658
22/07/2016,138.8601,15.3011,279.9277,109.1565,84.4101,120.11,261.197,224.8879,270.5986,123.2036,246.011,88.336,160.5555,77.6363,175.9814,46.627,48.2007,133.6585,91.1367,21.5953,31.4053,904.7854
25/07/2016,144.217,16.1204,286.9934,109.8587,79.8603,120.1499,259.2469,228.4431,267.8249,125.9613,247.3109,88.145,160.8518,81.2677,183.7657,46.0271,49.5635,137.3839,91.732,21.643,30.4316,898.4989
26/07/2016,147.6085,15.7879,288.0508,110.3111,79.232,121.1768,259.1244,231.8579,273.6116,127.3702,252.2734,87.9198,164.1562,84.4568,189.2692,45.5442,50.1032,138.9668,92.3965,21.6155,30.493,889.581
27/07/2016,149.829,16.0502,286.756,110.6919,78.4292,120.6131,258.4539,235.8501,271.2186,129.8043,251.57,87.7825,164.1657,85.8047,192.2903,46.3731,50.5186,138.8644,93.0182,20.593,30.3051,903.3217
28/07/2016,152.7713,15.8177,289.5023,110.5379,77.9504,121.5213,259.121,234.5218,269.1195,129.2465,249.9065,86.6352,162.2185,87.8531,196.5002,44.8107,50.3081,138.5264,92.3928,21.6139,30.4953,895.1101
29/07/2016,151.5477,15.7559,286.0827,110.8138,77.2218,119.8951,255.8712,236.6788,270.9095,127.1492,249.9437,87.1645,158.9678,86.6126,195.1297,43.6467,50.0421,138.9629,93.2564,21.6171,30.1112,886.3408
01/08/2016,153.0676,16.0999,287.1513,108.5819,76.7102,118.8481,251.9305,234.4464,264.9157,127.5723,244.8488,87.0151,158.2446,87.3004,197.4984,43.0127,49.1785,138.3237,93.2095,20.5933,29.5833,875.0129
02/08/2016,156.4392,15.6076,287.419,111.1533,76.5034,120.2408,252.9011,236.7418,264.4057,127.6767,245.5859,87.278,161.1275,87.8076,198.9236,42.7831,50.1666,142.064,95.363,21.3204,29.94,882.7459
03/08/2016,153.6069,16.1171,280.4842,110.1915,81.1082,119.4875,254.4902,235.9736,267.9655,122.9708,248.3516,86.9785,158.9568,85.0319,194.7965,42.2366,50.0794,139.4866,94.3217,20.2394,29.4295,883.4386
04/08/2016,147.4917,15.7583,272.8155,108.7958,74.9102,117.6163,246.9093,224.7877,266.2508,116.0545,240.4079,82.9429,154.643,77.6966,187.4969,41.8283,48.8613,136.3614,94.277,20.3008,28.7875,883.641
